,City1,City1_long,City1_lat,City2,City2_long,City2_lat,City3,City3_long,City3_lat,Prompt,Response,correct,Closer_City
0,"Goldsboro, NC",-77.972,35.3778,"St. Cloud, MN",-94.1718,45.5339,"Stamford, CT",-73.5583,41.1035,Is Goldsboro NC closer to St. Cloud MN or Stamford CT?,"Stamford, CT",True,"Stamford, CT"
1,"Woodbury, MN",-92.923,44.9056,"Medford, MA",-71.1087,42.4234,"Des Plaines, IL",-87.9009,42.0345,Is Woodbury MN closer to Medford MA or Des Plaines IL?,"Des Plaines, IL",True,"Des Plaines, IL"
2,"Muncie, IN",-85.395,40.1989,"Roswell, GA",-84.3513,34.0391,"Houma, LA",-90.7058,29.5799,Is Muncie IN closer to Roswell GA or Houma LA?,"Roswell, GA",True,"Roswell, GA"
3,"Glendora, CA",-117.8468,34.1449,"Lafayette, LA",-92.0323,30.2084,"Dublin, CA",-121.8963,37.7161,Is Glendora CA closer to Lafayette LA or Dublin CA?,"Dublin, CA",True,"Dublin, CA"
4,"San Juan, PR",-66.0636,18.4037,"Rome, GA",-85.1862,34.2661,"Federal Way, WA",-122.3358,47.3091,Is San Juan PR closer to Rome GA or Federal Way WA?,"Rome, GA",True,"Rome, GA"
5,"Charleston, SC",-79.9628,32.8153,"West Covina, CA",-117.9112,34.0555,"Saginaw, MI",-83.9501,43.4199,Is Charleston SC closer to West Covina CA or Saginaw MI?,"Saginaw, MI",True,"Saginaw, MI"
6,"Great Falls, MT",-111.2995,47.5022,"Johnstown, PA",-78.9193,40.3258,"Lexington, KY",-84.4587,38.0423,Is Great Falls MT closer to Johnstown PA or Lexington KY?,"Lexington, KY",True,"Lexington, KY"
7,"Tempe, AZ",-111.9318,33.3881,"Midwest City, OK",-97.3709,35.463,"Wenatchee, WA",-120.3283,47.4356,Is Tempe AZ closer to Midwest City OK or Wenatchee WA?,"Midwest City, OK",True,"Midwest City, OK"
8,"Midland, TX",-102.1137,32.0249,"Round Lake Beach, IL",-88.0811,42.379,"Modesto, CA",-121.0028,37.6374,Is Midland TX closer to Round Lake Beach IL or Modesto CA?,"Modesto, CA",False,"Round Lake Beach, IL"
9,"Long Beach, CA",-118.1675,33.7981,"Broomfield, CO",-105.0527,39.9541,"Kettering, OH",-84.1495,39.6957,Is Long Beach CA closer to Broomfield CO or Kettering OH?,"Broomfield, CO",True,"Broomfield, CO"
10,"Muncie, IN",-85.395,40.1989,"Chula Vista, CA",-117.0145,32.6281,"Ithaca, NY",-76.5032,42.4442,Is Muncie IN closer to Chula Vista CA or Ithaca NY?,"Chula Vista, CA",False,"Ithaca, NY"
11,"Pinellas Park, FL",-82.7078,27.8589,"Wilmington, NC",-77.8866,34.21,"Escondido, CA",-117.0722,33.1347,Is Pinellas Park FL closer to Wilmington NC or Escondido CA?,"Wilmington, NC",True,"Wilmington, NC"
12,"Panama City, FL",-85.6004,30.1995,"Centennial, CO",-104.8674,39.5926,"Vista, CA",-117.2386,33.1896,Is Panama City FL closer to Centennial CO or Vista CA?,"Centennial, CO",True,"Centennial, CO"
13,"Bolingbrook, IL",-88.1019,41.6903,"Buckeye, AZ",-112.6429,33.4314,"Victorville, CA",-117.3536,34.5277,Is Bolingbrook IL closer to Buckeye AZ or Victorville CA?,"Victorville, CA",False,"Buckeye, AZ"
14,"Norman, OK",-97.3471,35.2335,"Orange, CA",-117.8218,33.8038,"Berwyn, IL",-87.7909,41.8433,Is Norman OK closer to Orange CA or Berwyn IL?,"Orange, CA",False,"Berwyn, IL"
15,"Idaho Falls, ID",-112.0362,43.4872,"Rancho Cordova, CA",-121.2523,38.574,"Mobile, AL",-88.1162,30.6783,Is Idaho Falls ID closer to Rancho Cordova CA or Mobile AL?,"Rancho Cordova, CA",True,"Rancho Cordova, CA"
16,"Missoula, MT",-114.0214,46.875,"Poughkeepsie, NY",-73.921,41.6949,"North Miami, FL",-80.1686,25.9007,Is Missoula MT closer to Poughkeepsie NY or North Miami FL?,"Poughkeepsie, NY",True,"Poughkeepsie, NY"
17,"Dothan, AL",-85.4069,31.2335,"Alhambra, CA",-118.1355,34.084,"Rock Hill, SC",-81.0244,34.9416,Is Dothan AL closer to Alhambra CA or Rock Hill SC?,"Rock Hill, SC",True,"Rock Hill, SC"
18,"Bloomington, IN",-86.5257,39.1637,"Watsonville, CA",-121.7706,36.9206,"Traverse City, MI",-85.6035,44.7547,Is Bloomington IN closer to Watsonville CA or Traverse City MI?,"Traverse City, MI",True,"Traverse City, MI"
19,"Kankakee, IL",-87.8643,41.1019,"Cheyenne, WY",-104.79,41.1351,"Apple Valley, MN",-93.2006,44.7457,Is Kankakee IL closer to Cheyenne WY or Apple Valley MN?,"Cheyenne, WY",False,"Apple Valley, MN"
20,"Pittsburg, CA",-121.8964,38.0182,"Ellicott City, MD",-76.8344,39.2773,"Aurora, IL",-88.2901,41.7637,Is Pittsburg CA closer to Ellicott City MD or Aurora IL?,"Ellicott City, MD",False,"Aurora, IL"
21,"Spring Valley, NV",-115.2619,36.0987,"Bradenton, FL",-82.5739,27.49,"Chula Vista, CA",-117.0145,32.6281,Is Spring Valley NV closer to Bradenton FL or Chula Vista CA?,"Bradenton, FL",False,"Chula Vista, CA"
22,"Arlington Heights, IL",-87.9825,42.0955,"Shoreline, WA",-122.3426,47.7564,"Maple Grove, MN",-93.4626,45.1089,Is Arlington Heights IL closer to Shoreline WA or Maple Grove MN?,"Maple Grove, MN",True,"Maple Grove, MN"
