,city1,city2,city3,label
0,"Middleburg,FL","Mondovi,WI","Hartford,AL",0
1,"Half Moon,NC","Palmerton,PA","Kilauea,HI",1
2,"West Babylon,NY","McAlester,OK","Springtown,TX",1
3,"Florence,KY","Burney,CA","Hicksville,OH",0
4,"Mechanicsville,VA","Walton,KY","Monte Grande,PR",1
5,"Gonzales,TX","Weddington,NC","Belmont,CA",1
6,"Crestview,FL","Watonga,OK","Lindale,TX",0
7,"Grandwood Park,IL","Cudahy,CA","Hammond,IN",0
8,"Dorado,PR","Abbeville,AL","Myrtle Beach,SC",0
9,"Indian River Estates,FL","Strasburg,OH","Albany,NY",1
10,"Newtown,OH","Hilton Head Island,SC","La Palma,CA",1
11,"Lennox,SD","Macomb,IL","Richmond,TX",1
12,"Federal Way,WA","Southport,NC","South Padre Island,TX",0
13,"Hart,MI","Tinley Park,IL","Aberdeen,WA",1
14,"East End,AR","University of Virginia,VA","Trenton,FL",0
15,"Grand Forks AFB,ND","Alexander City,AL","Neenah,WI",0
16,"Rose Hill,VA","Refugio,TX","Tiburon,CA",1
17,"Montrose,NY","Kaneohe,HI","St. Charles,MN",0
18,"Ankeny,IA","Danville,VA","Rochelle,IL",0
19,"Morgantown,KY","Fort Morgan,CO","Underwood-Petersville,AL",0
20,"Lebanon,IL","Wonder Lake,IL","Lakeview,CA",1
21,"Aurora,MO","Sedalia,MO","Clayton,NJ",1
22,"Lemoyne,PA","Little Flock,AR","Thompsonville,PA",0
23,"Port Orchard,WA","Sunset Hills,MO","Cross Lanes,WV",1
24,"Mariemont,OH","Comstock Northwest,MI","Brownfield,TX",1
25,"Unalaska,AK","Prospect,KY","Healdsburg,CA",0
26,"El Centro,CA","Turners Falls,MA","Berthoud,CO",0
27,"Lomira,WI","Summit View,WA","Madison,SD",0
28,"New Holstein,WI","Seymour,TN","Sherman,IL",0
29,"Altoona,PA","Ketchum,ID","Iuka,MS",0
30,"Peoria,AZ","Buckeye Lake,OH","Floydada,TX",0
31,"Hudson,WI","Edgemoor,DE","Leawood,KS",0
32,"Avilla,IN","Peppermill Village,MD","Waterville,OH",0
33,"Big Bear Lake,CA","Gallipolis,OH","Pasadena,MD",1
34,"Buckhannon,WV","Mecca,CA","Cuero,TX",0
35,"Landrum,SC","Mount Zion,IL","Brandon,SD",1
36,"Buena,NJ","Cheraw,SC","Richwood,NJ",0
37,"Thompsonville,CT","Washington,NC","Harbour Heights,FL",1
38,"Silver Lake,NJ","Jefferson,NC","Coquí,PR",1
39,"Braintree,MA","Cumberland,IN","West Jefferson,OH",0
40,"Gahanna,OH","Lakeland North,WA","Carlisle-Rockledge,AL",0
41,"Malvern,OH","Montgomery Village,MD","Arden Hills,MN",1
42,"West Melbourne,FL","Redmond,OR","Rutherford,NJ",0
43,"Glendale Heights,IL","Welcome,NC","Gervais,OR",1
44,"Shady Shores,TX","Pollock Pines,CA","Landis,NC",0
45,"Salton City,CA","Lake Zurich,IL","Elverson,PA",1
46,"Beltsville,MD","Mount Carmel,OH","Central City,KY",1
47,"Kimberly,AL","Gonzalez,FL","Framingham,MA",1
48,"State College,PA","Santa Rosa,NM","Brookhaven,WV",0
49,"Beckett,NJ","Ashton-Sandy Spring,MD","McRae-Helena,GA",1
50,"Georgetown,OH","El Cenizo,TX","Concord,NH",0
51,"Elgin,IL","Kill Devil Hills,NC","Altadena,CA",1
52,"Douglas,WY","Tehachapi,CA","Meadowbrook,VA",1
53,"Wayne,NE","Van Wert,OH","Olivette,MO",0
54,"Atwater,CA","New Philadelphia,OH","Bay Hill,FL",1
