,city_st,lat,lng,population
0,"New York,NY",40.6943,-73.9249,18713220
1,"Los Angeles,CA",34.1139,-118.4068,12750807
2,"Chicago,IL",41.8373,-87.6862,8604203
3,"Miami,FL",25.7839,-80.2102,6445545
4,"Dallas,TX",32.7936,-96.7662,5743938
5,"Philadelphia,PA",40.0077,-75.1339,5649300
6,"Houston,TX",29.7863,-95.3889,5464251
7,"Atlanta,GA",33.7627,-84.4224,5449398
8,"Washington,DC",38.9047,-77.0163,5379184
9,"Boston,MA",42.3188,-71.0846,4688346
10,"Phoenix,AZ",33.5722,-112.0891,4219697
11,"Seattle,WA",47.6211,-122.3244,3789215
12,"San Francisco,CA",37.7562,-122.443,3592294
13,"Detroit,MI",42.3834,-83.1024,3506126
14,"San Diego,CA",32.8312,-117.1225,3220118
15,"Minneapolis,MN",44.9635,-93.2678,2977172
16,"Tampa,FL",27.9942,-82.4451,2908063
17,"Denver,CO",39.7621,-104.8759,2876625
18,"Brooklyn,NY",40.6501,-73.9496,2559903
19,"Queens,NY",40.7498,-73.7976,2230722
20,"Riverside,CA",33.9381,-117.3948,2107852
21,"Baltimore,MD",39.3051,-76.6144,2106068
22,"Las Vegas,NV",36.2333,-115.2654,2104198
23,"Portland,OR",45.5372,-122.65,2074775
24,"San Antonio,TX",29.4658,-98.5253,2049293
25,"St. Louis,MO",38.6358,-90.2451,2024074
26,"Sacramento,CA",38.5667,-121.4683,1898019
27,"Orlando,FL",28.4772,-81.3369,1822394
28,"San Jose,CA",37.3019,-121.8486,1798103
29,"Cleveland,OH",41.4767,-81.6804,1710093
30,"Pittsburgh,PA",40.4396,-79.9762,1703266
31,"Austin,TX",30.3004,-97.7522,1687311
32,"Cincinnati,OH",39.1413,-84.5061,1662691
33,"Kansas City,MO",39.1239,-94.5541,1636715
34,"Manhattan,NY",40.7834,-73.9662,1628706
35,"Indianapolis,IN",39.7771,-86.1458,1588961
36,"Columbus,OH",39.9862,-82.985,1562009
37,"Charlotte,NC",35.208,-80.8304,1512923
38,"Virginia Beach,VA",36.7335,-76.0435,1478868
39,"Bronx,NY",40.8501,-73.8662,1418207
40,"Milwaukee,WI",43.0642,-87.9673,1365787
41,"Providence,RI",41.823,-71.4187,1203230
42,"Jacksonville,FL",30.3322,-81.6749,1181496
43,"Salt Lake City,UT",40.7777,-111.9306,1098526
44,"Nashville,TN",36.1715,-86.7843,1081903
45,"Richmond,VA",37.5295,-77.4756,1075798
46,"Memphis,TN",35.1046,-89.9773,1066967
47,"Raleigh,NC",35.8325,-78.6435,1038738
48,"New Orleans,LA",30.0687,-89.9288,1020886
49,"Louisville,KY",38.1663,-85.6485,1005654
50,"Oklahoma City,OK",35.4676,-97.5136,972943
51,"Bridgeport,CT",41.1918,-73.1953,924449
52,"Buffalo,NY",42.9016,-78.8487,914341
53,"Fort Worth,TX",32.7811,-97.3473,909585
54,"Hartford,CT",41.7661,-72.6834,905152
55,"Tucson,AZ",32.1545,-110.8782,888486
56,"Omaha,NE",41.2627,-96.0522,847819
57,"El Paso,TX",31.8479,-106.4309,843386
58,"Honolulu,HI",21.3294,-157.846,820987
59,"McAllen,TX",26.2273,-98.2471,804114
60,"Albuquerque,NM",35.1053,-106.6464,761195
61,"Birmingham,AL",33.5277,-86.7987,739573
62,"Sarasota,FL",27.3386,-82.5431,722243
63,"Dayton,OH",39.7797,-84.1998,718353
64,"Rochester,NY",43.168,-77.6162,703952
65,"Fresno,CA",36.7831,-119.7941,703498
66,"Allentown,PA",40.5961,-75.4756,683794
67,"Tulsa,OK",36.1284,-95.9042,671033
68,"Cape Coral,FL",26.6446,-81.9956,668382
69,"Concord,CA",37.9722,-122.0016,652308
70,"Colorado Springs,CO",38.8674,-104.7606,642413
71,"Charleston,SC",32.8153,-79.9628,628377
72,"Springfield,MA",42.1155,-72.5395,623401
73,"Grand Rapids,MI",42.962,-85.6562,609314
74,"Mission Viejo,CA",33.6095,-117.655,590249
75,"Albany,NY",42.6664,-73.7987,586383
76,"Knoxville,TN",35.9692,-83.9496,586048
77,"Bakersfield,CA",35.3529,-119.0359,579295
78,"Ogden,UT",41.2278,-111.9682,578523
79,"Baton Rouge,LA",30.4418,-91.131,570308
80,"Akron,OH",41.0798,-81.5219,565208
81,"New Haven,CT",41.3112,-72.9246,564830
82,"Columbia,SC",34.0376,-80.9037,560041
83,"Mesa,AZ",33.4017,-111.718,518012
84,"Palm Bay,FL",27.955,-80.6627,507002
85,"Provo,UT",40.2457,-111.6457,500617
86,"Worcester,MA",42.2705,-71.8079,498328
87,"Murrieta,CA",33.572,-117.1909,496046
88,"Greenville,SC",34.8353,-82.3647,484465
89,"Wichita,KS",37.6896,-97.3442,482249
90,"Toledo,OH",41.6639,-83.5822,482111
91,"Staten Island,NY",40.5834,-74.1496,476143
92,"Des Moines,IA",41.5725,-93.6105,473957
93,"Long Beach,CA",33.7981,-118.1675,462628
94,"Port St. Lucie,FL",27.2796,-80.3883,461152
95,"Denton,TX",33.2176,-97.1419,457177
96,"Madison,WI",43.0826,-89.3931,447245
97,"Reno,NV",39.5497,-119.8483,445020
98,"Harrisburg,PA",40.2752,-76.8843,442289
99,"Little Rock,AR",34.7256,-92.3576,439815
100,"Oakland,CA",37.7903,-122.2165,433031
101,"Durham,NC",35.9794,-78.9031,424700
102,"Winston-Salem,NC",36.1029,-80.2611,422269
103,"Bonita Springs,FL",26.3559,-81.7861,421291
104,"Indio,CA",33.7346,-116.2346,417059
105,"Palm Coast,FL",29.5392,-81.246,417007
106,"Chattanooga,TN",35.0657,-85.2488,415501
107,"Spokane,WA",47.6671,-117.433,412275
108,"Syracuse,NY",43.0409,-76.1438,404223
109,"Lancaster,PA",40.0421,-76.3012,401524
110,"Arlington,TX",32.6998,-97.125,398854
111,"Stockton,CA",37.9765,-121.3109,397264
112,"Poughkeepsie,NY",41.6949,-73.921,394760
113,"Augusta,GA",33.3645,-82.0708,390809
114,"Boise,ID",43.6007,-116.2312,389280
