,City1,City1_long,City1_lat,City2,City2_long,City2_lat,City3,City3_long,City3_lat
0,"Goldsboro, NC",-77.972,35.3778,"St. Cloud, MN",-94.1718,45.5339,"Stamford, CT",-73.5583,41.1035
1,"Woodbury, MN",-92.923,44.9056,"Medford, MA",-71.1087,42.4234,"Des Plaines, IL",-87.9009,42.0345
2,"Muncie, IN",-85.395,40.1989,"Roswell, GA",-84.3513,34.0391,"Houma, LA",-90.7058,29.5799
3,"Glendora, CA",-117.8468,34.1449,"Lafayette, LA",-92.0323,30.2084,"Dublin, CA",-121.8963,37.7161
4,"San Juan, PR",-66.0636,18.4037,"Rome, GA",-85.1862,34.2661,"Federal Way, WA",-122.3358,47.3091
5,"Charleston, SC",-79.9628,32.8153,"West Covina, CA",-117.9112,34.0555,"Saginaw, MI",-83.9501,43.4199
6,"Great Falls, MT",-111.2995,47.5022,"Johnstown, PA",-78.9193,40.3258,"Lexington, KY",-84.4587,38.0423
7,"Tempe, AZ",-111.9318,33.3881,"Midwest City, OK",-97.3709,35.463,"Wenatchee, WA",-120.3283,47.4356
8,"Midland, TX",-102.1137,32.0249,"Round Lake Beach, IL",-88.0811,42.379,"Modesto, CA",-121.0028,37.6374
9,"Long Beach, CA",-118.1675,33.7981,"Broomfield, CO",-105.0527,39.9541,"Kettering, OH",-84.1495,39.6957
10,"Muncie, IN",-85.395,40.1989,"Chula Vista, CA",-117.0145,32.6281,"Ithaca, NY",-76.5032,42.4442
11,"Pinellas Park, FL",-82.7078,27.8589,"Wilmington, NC",-77.8866,34.21,"Escondido, CA",-117.0722,33.1347
12,"Panama City, FL",-85.6004,30.1995,"Centennial, CO",-104.8674,39.5926,"Vista, CA",-117.2386,33.1896
13,"Bolingbrook, IL",-88.1019,41.6903,"Buckeye, AZ",-112.6429,33.4314,"Victorville, CA",-117.3536,34.5277
14,"Norman, OK",-97.3471,35.2335,"Orange, CA",-117.8218,33.8038,"Berwyn, IL",-87.7909,41.8433
15,"Idaho Falls, ID",-112.0362,43.4872,"Rancho Cordova, CA",-121.2523,38.574,"Mobile, AL",-88.1162,30.6783
16,"Missoula, MT",-114.0214,46.875,"Poughkeepsie, NY",-73.921,41.6949,"North Miami, FL",-80.1686,25.9007
17,"Dothan, AL",-85.4069,31.2335,"Alhambra, CA",-118.1355,34.084,"Rock Hill, SC",-81.0244,34.9416
18,"Bloomington, IN",-86.5257,39.1637,"Watsonville, CA",-121.7706,36.9206,"Traverse City, MI",-85.6035,44.7547
19,"Kankakee, IL",-87.8643,41.1019,"Cheyenne, WY",-104.79,41.1351,"Apple Valley, MN",-93.2006,44.7457
20,"Pittsburg, CA",-121.8964,38.0182,"Ellicott City, MD",-76.8344,39.2773,"Aurora, IL",-88.2901,41.7637
21,"Spring Valley, NV",-115.2619,36.0987,"Bradenton, FL",-82.5739,27.49,"Chula Vista, CA",-117.0145,32.6281
22,"Arlington Heights, IL",-87.9825,42.0955,"Shoreline, WA",-122.3426,47.7564,"Maple Grove, MN",-93.4626,45.1089
23,"Pontiac, MI",-83.2878,42.6493,"Bellevue, WA",-122.1535,47.5951,"State College, PA",-77.8568,40.7909
24,"Centreville, VA",-77.4388,38.8391,"Olathe, KS",-94.8198,38.8832,"Santa Clara, CA",-121.968,37.3645
25,"Arlington, VA",-77.1011,38.8786,"Dallas, TX",-96.7662,32.7936,"North Charleston, SC",-80.0722,32.9066
26,"Leominster, MA",-71.7717,42.5209,"St. Joseph, MO",-94.821,39.7599,"Turlock, CA",-120.8588,37.5053
27,"Reading, PA",-75.9267,40.34,"Sparks, NV",-119.7157,39.5729,"Asheville, NC",-82.5536,35.5704
28,"Boca Raton, FL",-80.108,26.3752,"Newark, OH",-82.4251,40.0705,"Burbank, CA",-118.3235,34.1879
29,"Pearland, TX",-95.3215,29.5585,"Ann Arbor, MI",-83.7312,42.2755,"Shreveport, LA",-93.7956,32.4656
30,"Denton, TX",-97.1419,33.2176,"Goldsboro, NC",-77.972,35.3778,"San Jose, CA",-121.8486,37.3019
31,"Rosemead, CA",-118.0823,34.0689,"Pinellas Park, FL",-82.7078,27.8589,"Cary, NC",-78.8191,35.782
32,"Laredo, TX",-99.4875,27.5629,"Lake Elsinore, CA",-117.3344,33.6847,"Irving, TX",-96.9702,32.8584
33,"Newport News, VA",-76.5185,37.1051,"Minnetonka, MN",-93.4598,44.9322,"Waukesha, WI",-88.2464,43.0087
34,"Longmont, CO",-105.1005,40.1686,"Arden-Arcade, CA",-121.381,38.6034,"Stillwater, OK",-97.074,36.1316
35,"St. Clair Shores, MI",-82.8957,42.4921,"Los Lunas, NM",-106.7803,34.8115,"Escondido, CA",-117.0722,33.1347
36,"Davis, CA",-121.7365,38.5552,"Bremerton, WA",-122.7122,47.5436,"Rome, GA",-85.1862,34.2661
37,"Ithaca, NY",-76.5032,42.4442,"Alhambra, CA",-118.1355,34.084,"Knoxville, TN",-83.9496,35.9692
38,"Ellicott City, MD",-76.8344,39.2773,"Hickory, NC",-81.323,35.7425,"Pasadena, CA",-118.139,34.1597
39,"Victorville, CA",-117.3536,34.5277,"Zephyrhills, FL",-82.1796,28.2408,"The Woodlands, TX",-95.5134,30.1738
40,"Scottsdale, AZ",-111.8651,33.6872,"Town 'n' Country, FL",-82.576,28.0108,"East Orange, NJ",-74.2117,40.7651
41,"Riverside, CA",-117.3948,33.9381,"Casper, WY",-106.3207,42.842,"Long Beach, CA",-118.1675,33.7981
42,"Allen, TX",-96.6735,33.1088,"Bellingham, WA",-122.4687,48.7543,"Sarasota, FL",-82.5431,27.3386
43,"Chula Vista, CA",-117.0145,32.6281,"Waterloo, IA",-92.3522,42.492,"Reno, NV",-119.8483,39.5497
