City1,City1_long,City1_lat,City2,City2_long,City2_lat,City3,City3_long,City3_lat,Prompt,Response,correct
"Goldsboro, NC",-77.972,35.3778,"St. Cloud, MN",-94.1718,45.5339,"Stamford, CT",-73.5583,41.1035,Is Goldsboro NC closer to St. Cloud MN or Stamford CT?,"Stamford, CT",1
"Woodbury, MN",-92.923,44.9056,"Medford, MA",-71.1087,42.4234,"Des Plaines, IL",-87.9009,42.0345,Is Woodbury MN closer to Medford MA or Des Plaines IL?,"Des Plaines, IL",1
"Muncie, IN",-85.395,40.1989,"Roswell, GA",-84.3513,34.0391,"Houma, LA",-90.7058,29.5799,Is Muncie IN closer to Roswell GA or Houma LA?,"Roswell, GA",0
"Glendora, CA",-117.8468,34.1449,"Lafayette, LA",-92.0323,30.2084,"Dublin, CA",-121.8963,37.7161,Is Glendora CA closer to Lafayette LA or Dublin CA?,"Dublin, CA",1
"San Juan, PR",-66.0636,18.4037,"Rome, GA",-85.1862,34.2661,"Federal Way, WA",-122.3358,47.3091,Is San Juan PR closer to Rome GA or Federal Way WA?,"Rome, GA",0
"Charleston, SC",-79.9628,32.8153,"West Covina, CA",-117.9112,34.0555,"Saginaw, MI",-83.9501,43.4199,Is Charleston SC closer to West Covina CA or Saginaw MI?,"Saginaw, MI",1
"Great Falls, MT",-111.2995,47.5022,"Johnstown, PA",-78.9193,40.3258,"Lexington, KY",-84.4587,38.0423,Is Great Falls MT closer to Johnstown PA or Lexington KY?,"Lexington, KY",1
"Tempe, AZ",-111.9318,33.3881,"Midwest City, OK",-97.3709,35.463,"Wenatchee, WA",-120.3283,47.4356,Is Tempe AZ closer to Midwest City OK or Wenatchee WA?,"Midwest City, OK",0
"Midland, TX",-102.1137,32.0249,"Round Lake Beach, IL",-88.0811,42.379,"Modesto, CA",-121.0028,37.6374,Is Midland TX closer to Round Lake Beach IL or Modesto CA?,"Modesto, CA",0
"Long Beach, CA",-118.1675,33.7981,"Broomfield, CO",-105.0527,39.9541,"Kettering, OH",-84.1495,39.6957,Is Long Beach CA closer to Broomfield CO or Kettering OH?,"Broomfield, CO",0
"Muncie, IN",-85.395,40.1989,"Chula Vista, CA",-117.0145,32.6281,"Ithaca, NY",-76.5032,42.4442,Is Muncie IN closer to Chula Vista CA or Ithaca NY?,"Chula Vista, CA",1
"Pinellas Park, FL",-82.7078,27.8589,"Wilmington, NC",-77.8866,34.21,"Escondido, CA",-117.0722,33.1347,Is Pinellas Park FL closer to Wilmington NC or Escondido CA?,"Wilmington, NC",0
