,City1,City1_state,City1_long,City1_lat,City2,City2_state,City2_long,City2_lat,City3,City3_state,City3_long,City3_lat
0,Fort Wayne,IN,-85.1437,41.0886,Denver,CO,-104.8759,39.7621,New Haven,CT,-72.9246,41.3112
1,Buffalo,NY,-78.8487,42.9016,Youngstown,OH,-80.6463,41.0993,Mobile,AL,-88.1162,30.6783
2,Ogden,UT,-111.9682,41.2278,Boise,ID,-116.2312,43.6007,Columbus,OH,-82.985,39.9862
3,Omaha,NE,-96.0522,41.2627,Los Angeles,CA,-118.4068,34.1139,Kissimmee,FL,-81.4164,28.3042
4,Cleveland,OH,-81.6804,41.4767,Fort Wayne,IN,-85.1437,41.0886,Phoenix,AZ,-112.0891,33.5722
5,Greenville,SC,-82.3647,34.8353,Springfield,MO,-93.2916,37.1943,Sacramento,CA,-121.4683,38.5667
6,Indianapolis,IN,-86.1458,39.7771,Detroit,MI,-83.1024,42.3834,Grand Rapids,MI,-85.6562,42.962
7,Albany,NY,-73.7987,42.6664,Charlotte,NC,-80.8304,35.208,Boston,MA,-71.0846,42.3188
8,Atlanta,GA,-84.4224,33.7627,Salt Lake City,UT,-111.9306,40.7777,Hartford,CT,-72.6834,41.7661
9,Mission Viejo,CA,-117.655,33.6095,New Haven,CT,-72.9246,41.3112,Miami,FL,-80.2102,25.7839
10,Manhattan,NY,-73.9662,40.7834,Concord,CA,-122.0016,37.9722,Corpus Christi,TX,-97.3755,27.726
11,Fayetteville,AR,-94.166,36.0713,Brooklyn,NY,-73.9496,40.6501,Mission Viejo,CA,-117.655,33.6095
12,Trenton,NJ,-74.7641,40.2236,San Antonio,TX,-98.5253,29.4658,Las Vegas,NV,-115.2654,36.2333
13,Victorville,CA,-117.3536,34.5277,Fresno,CA,-119.7941,36.7831,Winston-Salem,NC,-80.2611,36.1029
14,Bakersfield,CA,-119.0359,35.3529,Fayetteville,AR,-94.166,36.0713,Virginia Beach,VA,-76.0435,36.7335
15,Santa Ana,CA,-117.8819,33.7366,Sacramento,CA,-121.4683,38.5667,Lincoln,NE,-96.6788,40.809
16,San Francisco,CA,-122.443,37.7562,Trenton,NJ,-74.7641,40.2236,Columbus,OH,-82.985,39.9862
17,Reno,NV,-119.8483,39.5497,Mobile,AL,-88.1162,30.6783,Lansing,MI,-84.5601,42.7142
18,Bronx,NY,-73.8662,40.8501,McAllen,TX,-98.2471,26.2273,Brooklyn,NY,-73.9496,40.6501
19,Lincoln,NE,-96.6788,40.809,Savannah,GA,-81.1784,32.0281,Tucson,AZ,-110.8782,32.1545
20,Akron,OH,-81.5219,41.0798,Nashville,TN,-86.7843,36.1715,San Antonio,TX,-98.5253,29.4658
21,Madison,WI,-89.3931,43.0826,Greensboro,NC,-79.8269,36.0956,Henderson,NV,-115.038,36.0133
22,Youngstown,OH,-80.6463,41.0993,Augusta,GA,-82.0708,33.3645,Asheville,NC,-82.5536,35.5704
23,Scranton,PA,-75.6649,41.4044,Augusta,GA,-82.0708,33.3645,Kansas City,MO,-94.5541,39.1239
24,Lakeland,FL,-81.9545,28.0556,Lancaster,PA,-76.3012,40.0421,Indio,CA,-116.2346,33.7346
25,Austin,TX,-97.7522,30.3004,Albuquerque,NM,-106.6464,35.1053,Tulsa,OK,-95.9042,36.1284
26,Henderson,NV,-115.038,36.0133,Indianapolis,IN,-86.1458,39.7771,Long Beach,CA,-118.1675,33.7981
27,Savannah,GA,-81.1784,32.0281,Bridgeport,CT,-73.1953,41.1918,Brooklyn,NY,-73.9496,40.6501
28,Oakland,CA,-122.2165,37.7903,Lincoln,NE,-96.6788,40.809,Fresno,CA,-119.7941,36.7831
29,McAllen,TX,-98.2471,26.2273,Atlanta,GA,-84.4224,33.7627,Brooklyn,NY,-73.9496,40.6501
30,Denver,CO,-104.8759,39.7621,Palm Bay,FL,-80.6627,27.955,Charleston,SC,-79.9628,32.8153
31,Victorville,CA,-117.3536,34.5277,Winston-Salem,NC,-80.2611,36.1029,Concord,CA,-122.0016,37.9722
32,Allentown,PA,-75.4756,40.5961,Baton Rouge,LA,-91.131,30.4418,Cleveland,OH,-81.6804,41.4767
33,McAllen,TX,-98.2471,26.2273,Minneapolis,MN,-93.2678,44.9635,Mesa,AZ,-111.718,33.4017
34,Des Moines,IA,-93.6105,41.5725,Bakersfield,CA,-119.0359,35.3529,Austin,TX,-97.7522,30.3004
35,Long Beach,CA,-118.1675,33.7981,Miami,FL,-80.2102,25.7839,San Juan,PR,-66.0636,18.4037
36,Concord,CA,-122.0016,37.9722,San Francisco,CA,-122.443,37.7562,Portland,OR,-122.65,45.5372
37,Lincoln,NE,-96.6788,40.809,Las Vegas,NV,-115.2654,36.2333,Boston,MA,-71.0846,42.3188
38,Chattanooga,TN,-85.2488,35.0657,Hartford,CT,-72.6834,41.7661,Columbus,OH,-82.985,39.9862
39,Boston,MA,-71.0846,42.3188,Salt Lake City,UT,-111.9306,40.7777,San Juan,PR,-66.0636,18.4037
40,Lansing,MI,-84.5601,42.7142,Palm Bay,FL,-80.6627,27.955,Baltimore,MD,-76.6144,39.3051
41,Savannah,GA,-81.1784,32.0281,Bronx,NY,-73.8662,40.8501,Albany,NY,-73.7987,42.6664
42,Palm Coast,FL,-81.246,29.5392,Brooklyn,NY,-73.9496,40.6501,Greensboro,NC,-79.8269,36.0956
43,Mobile,AL,-88.1162,30.6783,Palm Coast,FL,-81.246,29.5392,Ann Arbor,MI,-83.7312,42.2755
44,Queens,NY,-73.7976,40.7498,Rochester,NY,-77.6162,43.168,Albany,NY,-73.7987,42.6664
45,Bonita Springs,FL,-81.7861,26.3559,Wichita,KS,-97.3442,37.6896,Austin,TX,-97.7522,30.3004
46,Orlando,FL,-81.3369,28.4772,Birmingham,AL,-86.7987,33.5277,Philadelphia,PA,-75.1339,40.0077
47,Anaheim,CA,-117.8572,33.839,Shreveport,LA,-93.7956,32.4656,Rochester,NY,-77.6162,43.168
48,Youngstown,OH,-80.6463,41.0993,Syracuse,NY,-76.1438,43.0409,Omaha,NE,-96.0522,41.2627
49,Shreveport,LA,-93.7956,32.4656,Youngstown,OH,-80.6463,41.0993,Santa Ana,CA,-117.8819,33.7366
50,Trenton,NJ,-74.7641,40.2236,Virginia Beach,VA,-76.0435,36.7335,Baton Rouge,LA,-91.131,30.4418
51,Cincinnati,OH,-84.5061,39.1413,Louisville,KY,-85.6485,38.1663,Corpus Christi,TX,-97.3755,27.726
52,Richmond,VA,-77.4756,37.5295,Durham,NC,-78.9031,35.9794,San Jose,CA,-121.8486,37.3019
53,Columbus,OH,-82.985,39.9862,Fayetteville,NC,-78.9776,35.0846,San Juan,PR,-66.0636,18.4037
54,Spokane,WA,-117.433,47.6671,Wichita,KS,-97.3442,37.6896,New Haven,CT,-72.9246,41.3112
55,Detroit,MI,-83.1024,42.3834,Houston,TX,-95.3889,29.7863,Durham,NC,-78.9031,35.9794
56,Lexington,KY,-84.4587,38.0423,Dayton,OH,-84.1998,39.7797,Detroit,MI,-83.1024,42.3834
57,San Antonio,TX,-98.5253,29.4658,Kissimmee,FL,-81.4164,28.3042,Fort Collins,CO,-105.0656,40.5478
58,Fresno,CA,-119.7941,36.7831,Portland,OR,-122.65,45.5372,Seattle,WA,-122.3244,47.6211
59,Springfield,MO,-93.2916,37.1943,Youngstown,OH,-80.6463,41.0993,Houston,TX,-95.3889,29.7863
60,Little Rock,AR,-92.3576,34.7256,Scranton,PA,-75.6649,41.4044,Honolulu,HI,-157.846,21.3294
61,Santa Clarita,CA,-118.4964,34.4175,Lexington,KY,-84.4587,38.0423,Fort Wayne,IN,-85.1437,41.0886
