,City1,City1_state,City1_long,City1_lat,City2,City2_state,City2_long,City2_lat,City3,City3_state,City3_long,City3_lat
0,San Leandro,CA,-122.1601,37.7071,Georgetown,TX,-97.6953,30.6668,Kankakee,IL,-87.8643,41.1019
1,Plantation,FL,-80.2617,26.126,Conroe,TX,-95.4825,30.3239,Hattiesburg,MS,-89.317,31.3074
2,Plantation,FL,-80.2617,26.126,Watsonville,CA,-121.7706,36.9206,Springdale,AR,-94.1574,36.1899
3,Anderson,SC,-82.6479,34.5211,Brockton,MA,-71.0242,42.0821,Vineland,NJ,-74.9981,39.4653
4,Plantation,FL,-80.2617,26.126,Port Huron,MI,-82.4387,42.9822,Menifee,CA,-117.1849,33.6909
5,Valdosta,GA,-83.2788,30.8502,Suffolk,VA,-76.6398,36.6953,Boynton Beach,FL,-80.0811,26.5281
6,Springfield,OH,-83.7957,39.9297,Portsmouth,VA,-76.354,36.8468,Camarillo,CA,-119.0322,34.223
7,Plantation,FL,-80.2617,26.126,Pharr,TX,-98.1904,26.1685,Kankakee,IL,-87.8643,41.1019
8,South Jordan,UT,-111.9782,40.557,Albany,GA,-84.1762,31.5776,Auburn,AL,-85.4899,32.6087
9,Atascocita,TX,-95.1953,29.9777,Westland,MI,-83.3805,42.3192,Waukegan,IL,-87.8716,42.3697
10,San Marcos,TX,-97.9381,29.8736,Madera,CA,-120.0782,36.9631,Bloomington,MN,-93.3151,44.8306
11,Porterville,CA,-119.0338,36.0644,Goodyear,AZ,-112.3622,33.2613,Texarkana,TX,-94.0815,33.4487
12,Jonesboro,AR,-90.6791,35.8212,Porterville,CA,-119.0338,36.0644,Lynn,MA,-70.9663,42.4779
13,Lawrence,MA,-71.1626,42.7003,The Villages,FL,-81.9888,28.9021,Brooklyn Park,MN,-93.3505,45.1112
14,Fort Myers,FL,-81.8303,26.6195,Dalton,GA,-84.9712,34.769,Missoula,MT,-114.0214,46.875
15,Camarillo,CA,-119.0322,34.223,Mountain View,CA,-122.0796,37.4,O'Fallon,MO,-90.7175,38.785
16,Lee's Summit,MO,-94.3816,38.9172,Davis,CA,-121.7365,38.5552,Joplin,MO,-94.5018,37.0758
17,Riverview,FL,-82.3023,27.8227,Davis,CA,-121.7365,38.5552,Dearborn,MI,-83.2129,42.3127
18,Dalton,GA,-84.9712,34.769,Fishers,IN,-85.9661,39.9589,Buckeye,AZ,-112.6429,33.4314
19,Anderson,SC,-82.6479,34.5211,Camarillo,CA,-119.0322,34.223,Federal Way,WA,-122.3358,47.3091
20,Cranston,RI,-71.4857,41.7658,St. Augustine,FL,-81.31,29.8977,Deerfield Beach,FL,-80.1277,26.305
