,City1,City1_state,City1_long,City1_lat,City2,City2_state,City2_long,City2_lat,City3,City3_state,City3_long,City3_lat,Answer,State,IsCorrect,Closer_City,Correct
0,Fort Wayne,IN,-85.1437,41.0886,Denver,CO,-104.8759,39.7621,New Haven,CT,-72.9246,41.3112,New Haven, CT,True,New Haven,True
1,Buffalo,NY,-78.8487,42.9016,Youngstown,OH,-80.6463,41.0993,Mobile,AL,-88.1162,30.6783,Youngstown, OH,False,Youngstown,True
2,Ogden,UT,-111.9682,41.2278,Boise,ID,-116.2312,43.6007,Columbus,OH,-82.985,39.9862,Boise, ID,False,Boise,True
3,Omaha,NE,-96.0522,41.2627,Los Angeles,CA,-118.4068,34.1139,Kissimmee,FL,-81.4164,28.3042,Los Angeles, CA,False,Kissimmee,False
4,Cleveland,OH,-81.6804,41.4767,Fort Wayne,IN,-85.1437,41.0886,Phoenix,AZ,-112.0891,33.5722,Fort Wayne, IN,True,Fort Wayne,True
5,Greenville,SC,-82.3647,34.8353,Springfield,MO,-93.2916,37.1943,Sacramento,CA,-121.4683,38.5667,Springfield, MO,False,Springfield,True
6,Indianapolis,IN,-86.1458,39.7771,Detroit,MI,-83.1024,42.3834,Grand Rapids,MI,-85.6562,42.962,Detroit, MI,True,Grand Rapids,False
7,Albany,NY,-73.7987,42.6664,Charlotte,NC,-80.8304,35.208,Boston,MA,-71.0846,42.3188,Boston, MA,True,Boston,True
8,Atlanta,GA,-84.4224,33.7627,Salt Lake City,UT,-111.9306,40.7777,Hartford,CT,-72.6834,41.7661,Hartford, CT,False,Hartford,True
9,Mission Viejo,CA,-117.655,33.6095,New Haven,CT,-72.9246,41.3112,Miami,FL,-80.2102,25.7839,Miami, FL,False,Miami,True
10,Manhattan,NY,-73.9662,40.7834,Concord,CA,-122.0016,37.9722,Corpus Christi,TX,-97.3755,27.726,Corpus Christi, TX,False,Corpus Christi,True
11,Fayetteville,AR,-94.166,36.0713,Brooklyn,NY,-73.9496,40.6501,Mission Viejo,CA,-117.655,33.6095,Brooklyn, NY,True,Brooklyn,True
12,Trenton,NJ,-74.7641,40.2236,San Antonio,TX,-98.5253,29.4658,Las Vegas,NV,-115.2654,36.2333,Las Vegas, NV,False,San Antonio,False
13,Victorville,CA,-117.3536,34.5277,Fresno,CA,-119.7941,36.7831,Winston-Salem,NC,-80.2611,36.1029,Fresno, CA,False,Fresno,True
14,Bakersfield,CA,-119.0359,35.3529,Fayetteville,AR,-94.166,36.0713,Virginia Beach,VA,-76.0435,36.7335,Fayetteville, AR,True,Fayetteville,True
15,Santa Ana,CA,-117.8819,33.7366,Sacramento,CA,-121.4683,38.5667,Lincoln,NE,-96.6788,40.809,Sacramento, CA,True,Sacramento,True
16,San Francisco,CA,-122.443,37.7562,Trenton,NJ,-74.7641,40.2236,Columbus,OH,-82.985,39.9862,Columbus, OH,False,Columbus,True
17,Reno,NV,-119.8483,39.5497,Mobile,AL,-88.1162,30.6783,Lansing,MI,-84.5601,42.7142,Lansing, MI,False,Lansing,True
18,Bronx,NY,-73.8662,40.8501,McAllen,TX,-98.2471,26.2273,Brooklyn,NY,-73.9496,40.6501,Brooklyn, NY,True,Brooklyn,True
19,Lincoln,NE,-96.6788,40.809,Savannah,GA,-81.1784,32.0281,Tucson,AZ,-110.8782,32.1545,Tucson, AZ,True,Tucson,True
20,Akron,OH,-81.5219,41.0798,Nashville,TN,-86.7843,36.1715,San Antonio,TX,-98.5253,29.4658,Nashville, TN,True,Nashville,True
21,Madison,WI,-89.3931,43.0826,Greensboro,NC,-79.8269,36.0956,Henderson,NV,-115.038,36.0133,Greensboro, NC,True,Greensboro,True
22,Youngstown,OH,-80.6463,41.0993,Augusta,GA,-82.0708,33.3645,Asheville,NC,-82.5536,35.5704,Asheville, NC,True,Asheville,True
23,Scranton,PA,-75.6649,41.4044,Augusta,GA,-82.0708,33.3645,Kansas City,MO,-94.5541,39.1239,Kansas City, MO,True,Augusta,False
24,Lakeland,FL,-81.9545,28.0556,Lancaster,PA,-76.3012,40.0421,Indio,CA,-116.2346,33.7346,Lancaster, PA,False,Lancaster,True
25,Austin,TX,-97.7522,30.3004,Albuquerque,NM,-106.6464,35.1053,Tulsa,OK,-95.9042,36.1284,Albuquerque, NM,True,Tulsa,False
26,Henderson,NV,-115.038,36.0133,Indianapolis,IN,-86.1458,39.7771,Long Beach,CA,-118.1675,33.7981,Long Beach, CA,False,Long Beach,True
27,Savannah,GA,-81.1784,32.0281,Bridgeport,CT,-73.1953,41.1918,Brooklyn,NY,-73.9496,40.6501,Brooklyn, NY,True,Brooklyn,True
28,Oakland,CA,-122.2165,37.7903,Lincoln,NE,-96.6788,40.809,Fresno,CA,-119.7941,36.7831,Fresno, CA,False,Fresno,True
29,McAllen,TX,-98.2471,26.2273,Atlanta,GA,-84.4224,33.7627,Brooklyn,NY,-73.9496,40.6501,Atlanta, GA,False,Atlanta,True
