,City1,City1_state,City1_lat,City1_long,City2,City2_state,City2_lat,City2_long,City3,City3_state,City3_lat,City3_long,Valid_distance_difference,Answer,State
0,Coulee City,WA,47.6122,-119.2895,Valley Grove,WV,40.0901,-80.569,Vancouver,WA,45.6366,-122.5967,TRUE,Vancouver, WA
1,Ballville,OH,41.3269,-83.1367,Belfry,MT,45.1375,-108.9985,Luxemburg,WI,44.5449,-87.7065,TRUE,Luxemburg, WI
2,Roodhouse,IL,39.484,-90.3741,Anzac Village,NM,35.0613,-107.7456,Mason,MI,42.5806,-84.4427,TRUE,Mason, MI
3,Deer Lick,OK,36.4595,-94.7468,Meridian,CO,39.5389,-104.8476,Jefferson,TX,32.7634,-94.3512,TRUE,Jefferson, TX
4,South Beloit,IL,42.4822,-89.0248,Oxbow,ND,46.6687,-96.8101,McGrath,AK,62.9424,-155.563,TRUE,McGrath, AK
5,Mohrsville,PA,40.4781,-75.9852,Vernon,UT,40.0956,-112.4457,Hewlett Neck,NY,40.6247,-73.6981,TRUE,Hewlett Neck, NY
6,Elm City,NC,35.8087,-77.8622,Palm Coast,FL,29.5392,-81.246,Ulysses,KS,37.5774,-101.3549,TRUE,Palm Coast, FL
7,Cinco Ranch,TX,29.7395,-95.7607,Lafayette,OR,45.2463,-123.1116,St. Elizabeth,MO,38.256,-92.2665,TRUE,Lafayette, OR
8,Farrell,PA,41.2112,-80.497,Butler,IN,41.4274,-84.8721,Gate,OK,36.8517,-100.0553,TRUE,Butler, IN
9,North Webster,IN,41.324,-85.6979,Southmont,NC,35.6536,-80.2702,Bithlo,FL,28.5644,-81.1074,TRUE,Southmont, NC
10,Tilton,IL,40.0941,-87.6398,Corfu,NY,42.9611,-78.4026,Olympia Fields,IL,41.517,-87.6924,TRUE,Olympia Fields, IL
11,Texas City,TX,29.4128,-94.9658,Turtle Lake,WI,45.3933,-92.1452,Woodside,CA,37.4222,-122.2591,TRUE,Woodside, CA
12,Pin Oak Acres,OK,36.1226,-95.2889,Perryville,MO,37.7263,-89.8759,Hamlet,NC,34.8891,-79.7099,TRUE,Perryville, MO
13,Montpelier,ID,42.326,-111.2988,Wilberforce,OH,39.7151,-83.8848,Westby,MT,48.871,-104.0551,TRUE,Wilberforce, OH
14,Rapid City,MI,44.8366,-85.2871,Gillette,WY,44.2752,-105.4983,Chester,CA,40.3017,-121.2339,TRUE,Gillette, WY
15,Goshen,OH,39.2325,-84.1532,West Alexandria,OH,39.7451,-84.5362,Eldridge,CA,38.3339,-122.5065,TRUE,West Alexandria, OH
16,Highland Park,IL,42.1823,-87.8105,Fox Lake,WI,43.5618,-88.913,Vega,TX,35.2456,-102.4262,TRUE,Fox Lake, WI
17,Norwood,GA,33.4626,-82.7055,San Pablo,NM,32.2506,-106.7626,Lake Mills,WI,43.0776,-88.9054,TRUE,Lake Mills, WI
